ID;Зона;Товар/артикул;Кол-во;Паспортный габарит;Габарит в C4D;Цена на 30.07.2026;Предварительная сумма;Статус товара;Статус модели;Лист/узел;Что проверить до заказа;Ссылка
F-01;Кухня-гостиная;Divan.ru Авалон 160x80 раскладной дуб золотистый арт.182388;1;1600x800x750 мм в разложенном виде 2000x800x750;1600x800x750 мм;18990 ₽;18990 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-04;проходы при разложенном столе и доставка в Ставрополь;https://www.divan.ru/product/kuhonnyj-stol-avalon-7-dub-zolotistyj
F-02;Кухня-гостиная;Divan.ru Корнер стул велюр бежевый/натуральный;6;450x470x840 мм;450x470x840 мм;10580 ₽/шт;63480 ₽;КАНДИДАТ В КАТАЛОГЕ СТАВРОПОЛЯ;ТОЧНЫЙ ГАБАРИТ;AR-04;цвет партии наличие шести штук высота сиденья и проходы вокруг стола;https://www.divan.ru/stavropol/category/stulja
F-03;Кухня-гостиная;Divan.ru Маркфул прямой диван велюр бежевый;1;2170x1030x860 мм спальное 1960x1500x460;2170x1030x860 мм;85670 ₽;85670 ₽;В КАТАЛОГЕ СТАВРОПОЛЯ;ТОЧНЫЙ ГАБАРИТ;AR-01 интерьер;проверить ткань в шоуруме радиус раскладывания и доставку;https://www.divan.ru/stavropol/category/bezhevye-divany-raskladnye
F-04;Спальня родителей;Divan.ru Нордик 180 светло-бежевый арт.117397;1;2030x1850x980 мм спальное 1800x2000;2030x1850x980 мм;27359 ₽;27359 ₽;В КАТАЛОГЕ СТАВРОПОЛЯ;ТОЧНЫЙ ГАБАРИТ;AR-05-1 / AR-06;матрас проходы тумбы открывание двери и доставка;https://www.divan.ru/product/krovat-nordik-180-light
F-05;Детская Дарины;Divan.ru Пенни-1 90 белый кровать;1;2040x940x760 мм спальное 900x2000 H400;2040x940x760 мм;26170 ₽;26170 ₽;В КАТАЛОГЕ СТАВРОПОЛЯ;ТОЧНЫЙ ГАБАРИТ;AR-05-2 / AR-07;ящики нужной стороны проход к балконной двери матрас и крепление мебели;https://www.divan.ru/product/krovat-penni-1-90-plywood-white
F-06;Детская Ярика;Divan.ru Пенни-1 90 латте кровать;1;2040x940x760 мм спальное 900x2000 H400;2040x940x760 мм;26170 ₽;26170 ₽;В КАТАЛОГЕ СТАВРОПОЛЯ;ТОЧНЫЙ ГАБАРИТ;AR-05-3 / AR-08;ящики нужной стороны проходы матрас и крепление мебели;https://www.divan.ru/stavropol/category/krovati-odnospalnye-90-200-sm-s-yaschikami
F-07;Детская Дарины;Divan.ru Милна стол детский 120x60 белый арт.252307;1;1200x600x750 мм;1200x600x750 мм;14290 ₽;14290 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-05-2 / AR-07;сторона ящиков свет слева розетки над столом и доставка;https://www.divan.ru/product/stol-detskij-milna-1-milk
F-08;Детская Ярика;Divan.ru Дикинс стол письменный 120x60 светло-бежевый;1;1200x600x760 мм;1200x600x760 мм;17990 ₽;17990 ₽;В КОРЗИНУ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-05-3 / AR-08;сторона ящиков проход розетки и доставка;https://www.divan.ru/product/pismennyj-stol-dikins-ivory
S-01;Санузел родителей;Abber AB9315 L/R ванна;1;1700x750x600 мм 210 л;1700x750x600 мм;85900 ₽;85900 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;VK-02;левая/правая версия нагрузка перекрытия слив экран и сервисный люк;https://stavropol.santehnica.ru/product/415971.html
S-02;Санузел детей;Veconi Rovigo душевой уголок;1;1200x800x1950 мм стекло 6 мм;1200x800x1950 мм;42676 ₽;42676 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;VK-02;поддон или трап уклоны гидроизоляция и зона открывания;https://stavropol.santehnica.ru/product/1690101.html
S-03;Санузлы;GROHE Rapid SL Solido 39536000;3;примерно 500x135x1130 мм;500x135x1130 мм;120000 ₽/шт;360000 ₽;ПОД ЗАКАЗ;ТОЧНЫЙ ГАБАРИТ-КАНДИДАТ;VK-01 / развертки санузлов;полный комплект клавиша несущая способность стены и ось канализации;https://stavropol.santehnica.ru/product/215901.html
S-04;Санузел родителей;Jacob Delafon Tolbiac тумба;1;1185x456x520 мм;1185x456x520 мм;47434 ₽;47434 ₽;ТУМБА БЕЗ РАКОВИНЫ;ТОЧНЫЙ ГАБАРИТ;VK-02;совместимая раковина смесители крепление и координаты выводов;https://stavropol.santehnica.ru/brand/jacob-delafon/tolbiac/
M-01;Котельная;BAXI ECO Nova 2025 1.24F котел;1;400x300x704 мм;400x300x704 мм;ПО КП;ПО КП;ОФИЦИАЛЬНАЯ КАРТОЧКА;ТОЧНЫЙ ГАБАРИТ;OV-01 / ГСВ;теплопотери ТУ газ проект дымоудаление конденсат и сервисные зоны;https://baxi.ru/production/domestic/wall/eco_nova_2025/100023941/
M-02;Котельная;ROMMER бойлер косвенного нагрева 150 л;1;D496xH1200 мм;D496xH1200 мм;ПО КП;ПО КП;ОФИЦИАЛЬНАЯ КАРТОЧКА;ТОЧНЫЙ ГАБАРИТ;OV-01 / VK-01;масса заполненного бойлера обвязка группа безопасности слив и сервис;https://www.rommer.ru/catalog/boylery/napolnyy_kosvennogo_nagreva/rommer-boyler-kosvennogo-nagreva-napolnyy-150-l/
M-03;Вентиляция;VENTS VUE 350 V1B EC A21 приточно-вытяжная установка;1;470x730x675 мм патрубки D160;470x730x675 мм;ПО КП;ПО КП;ОФИЦИАЛЬНАЯ КАРТОЧКА;ТОЧНЫЙ ГАБАРИТ;OV-01 / OV-02;воздухообмен сопротивление сети шум дренаж доступ к фильтрам и место монтажа;https://ventilation-system.com/ru/product/vue-350-v1b-ec-a21/
E-01;Электрика;Systeme Electric AtlasDesign ATN001346 розетка с заземлением шторками и крышкой;120;71x71x43 мм 16 А 250 В;71x71x43 мм;855 ₽/шт;102600 ₽;ЦЕНА ДРУГОГО РЕГИОНА ПРОВЕРИТЬ СТАВРОПОЛЬ;СЕМЕЙСТВО-ГАБАРИТ;EOM планы;точное количество типы рамок подрозетники IP влажных зон и цена в Ставрополе;https://ulyanovsk.lemanapro.ru/product/rozetka-vstraivaemaya-systeme-electric-atlasdesign-atn001346-s-zazemleniem-shtorkami-i-kryshkoy-cvet-lotos-91928852/
E-02;Электрика;Systeme Electric AtlasDesign выключатель 1 клавиша;44;механизм семейства 71x71 мм;71x71 мм;528 ₽/шт ориентир;23232 ₽;ПРЕДВАРИТЕЛЬНО ПО КАТАЛОГУ;СЕМЕЙСТВО-ГАБАРИТ;EOM планы;сценарии проходные перекрестные диммеры рамки и точное количество;https://voronezh.lemanapro.ru/catalogue/rozetki-i-vyklyuchateli/schneider-electric-atlas-design/
E-03;Освещение;Maytoni Focus C071CL-7W3K-B downlight;54;120x80 мм отверстие D85 7 Вт 3000K IP20;120x80 мм;3600 ₽/шт;194400 ₽;КАНДИДАТ;ТОЧНЫЙ ГАБАРИТ;EOM / свет;количество по Dialux IP мокрых зон драйверы управление и высота потолка;https://maytoni.ru/catalog/functional/potolochnye-svetilniki-func/potolochnye-vstraivaemye-svetilniki/svetilniki-downlight/c071cl-7w3k-b/
E-04;Фасад и балкон;Maytoni Line O484WL-L6GF3K бра;10;170x80x160 мм 6 Вт 3000K IP65;170x80x160 мм;16190 ₽/шт;161900 ₽;КАНДИДАТ;ТОЧНЫЙ ГАБАРИТ;EOM / фасады;количество по расчету засветка соседей высота кабель и управление день-ночь;https://maytoni.ru/catalog/street/bra/o484wl-l6gf3k/
E-05;Электрика;Кабель ВВГ-Пнг(А)-LS 3x2.5 ГОСТ;850 м предварительно;примерно 5.4x11.3 мм;трассы после EOM;115.20 ₽/м;97920 ₽;НАЛИЧИЕ УСТАРЕЛО НУЖЕН ЗВОНОК;НЕ МОДЕЛИРОВАТЬ ДО EOM;EOM спецификация;расчет нагрузок сечения трассы защита партии сертификаты и фактический метраж;https://dixi-st.com/katalog-dixi/kabelno-provodnaya/kabel/silovoj/kabel-vvg-pnga-ls-3h25-gost-pk
L-01;Передний двор и дорожки;Тротуарная плитка Старый город 40 мм серая;28 м2 предварительно;толщина 40 мм;слой 40 мм;750 ₽/м2;21000 ₽;ТОЛЬКО ПЕШЕХОДНАЯ;ТОЧНАЯ ТОЛЩИНА;GP-01 / генплан;не применять под машину основание бордюр уклоны и объем после топосъемки;https://stavropol.gs-com.ru/tile/oldcity/tp-oldcity-gray-4sm/
L-02;Водоотвод;Gidrolica Standart DN100 арт.800 C250;18 шт предварительно;1000x146x135 мм;1000x146x135 мм;727.20 ₽ без решетки;13089.60 ₽ без решеток;В НАЛИЧИИ БЕЗ РЕШЕТКИ;ТОЧНЫЙ ГАБАРИТ;вертикальная планировка;решетка пескоуловитель отметки расход точка сброса и точное количество;https://shop.gidrolica.ru/product/lotok-vodootvodnyj-gidrolica-standart-lv-10-14-5-13-5-plastikovyj169/
B-01;Баня;Везувий Скиф Стандарт 16 ДТ-4 печь;1;H640 мм 16 кВт парная 8-18 м3;габаритная оболочка H640;51250 ₽;51250 ₽;КАНДИДАТ НЕ ПОКУПАТЬ ОТДЕЛЬНО;ГАБАРИТ-КАНДИДАТ;БН-01 / печной проект;точные габариты корпуса основание экраны отступы дымоход вентиляция и пожарный расчет;https://26.teplozhar.ru/dlya-bani-i-sauni/skif-standart-dt-4-to-n079908.html
B-02;Баня;Дверь Банный эксперт бронза матовая;1;680x1800x8 мм коробка осина;680x1800x8 мм;12000 ₽;12000 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;БН-01;строительный проем коробка направление открывания и безопасный маршрут;https://stavropol.pechi-online.ru/shop/dver_bronza_matovoe_18068_8_mm_3_petli_korobka_osina
B-03;Баня;Ferrum сэндвич-труба D115/200 L1000;6 секций только для бюджета;D115/200x1000 мм;D200x1000 мм;3614 ₽/секция;21684 ₽;НЕ ЯВЛЯЕТСЯ КОМПЛЕКТОМ;НЕ МОДЕЛИРОВАТЬ ДО ПЕЧНОГО ПРОЕКТА;печной проект;полный маршрут высота проход кровли опора ревизия оголовок и пожарные разделки;https://stavropol.pechi-online.ru/shop/dymoxod_uteplennyj_nerzhaveyushhij_05_zerkalnyj_nerzhaveyushhij_d-115_200L1m_po_vode_ferrum-1400778906
P-01;Правая зеленая полоса;Гортензия метельчатая Strawberry Blossom C2;12;поставка 300-400 мм взрослая крона 1200-1500 мм H1500-2000;взрослая крона D1350 H1800;1400 ₽;16800 ₽;НАЛИЧИЕ МАЛО;ВЗРОСЛАЯ КРОНА;GP-01;почва pH инсоляция капельный полив зимовка и фактическая партия;https://stavropol.rasteniya24.ru/dekorativnye-rasteniya/gortenziya-metelchataya-strawberry-blossom
P-02;Цветники;Лаванда Dwarf Blue;40;поставочный размер не указан взрослая схема 350-450 мм;взрослая крона D400 H450;730 ₽;29200 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ВЗРОСЛАЯ КРОНА;GP-01;контейнер сухая солнечная зона дренаж зимовка и партия;https://stavropol.pitomnik-rose.ru/product/lavanda-dvarf-blyu
P-03;Почвопокровные группы;Можжевельник Tamariscifolia C2;12;поставка 150-250 мм взрослая крона по сорту;взрослая крона D1600 H700;930 ₽;11160 ₽;НАЛИЧИЕ МНОГО;ВЗРОСЛАЯ КРОНА;GP-01;реальная партия отступы от дорожки отсутствие колючего контакта в детском маршруте;https://stavropol.rasteniya24.ru/dekorativnye-rasteniya/mozhzhevelnik-kazackij-tamariscifolia
P-04;Цветники Олеси;Роза Artemis комплект 5 шт.;4 комплекта;взрослая H900-1200 мм;взрослая крона D900 H1050;2200 ₽/комплект;8800 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ВЗРОСЛАЯ КРОНА;GP-01;поставочный размер солнце проветривание зимовка и расстояние до детских маршрутов;https://stavropol.pitomnik-rose.ru/product/komplekt-5sht-roza-artemis-shrab
M-04;Черновая отделка;Knauf Rotband 30 кг;по обмеру;мешок 30 кг;не моделируется;650.53 ₽/мешок;ПО ВЕДОМОСТИ ОБЪЕМОВ;ЦЕНА ПЕРЕПРОВЕРИТЬ;НЕ МОДЕЛИРУЕТСЯ;ведомость отделки;площадь средняя толщина основание влажность партия и сертификаты;https://stavropol.prinesipoday.ru/catalog/stroitelnye-smesi/shtukaturki/shtukaturka-dlya-vnutrennikh-rabot/
M-05;Мокрые зоны;Ceresit CL 51 15 кг;по карте мокрых зон;ведро 15 кг;не моделируется;6440.26 ₽/ведро;ПО ВЕДОМОСТИ ОБЪЕМОВ;КАНДИДАТ;НЕ МОДЕЛИРУЕТСЯ;узлы гидроизоляции;основание расход число слоев ленты манжеты примыкания и совместимость системы;https://stavropol.prinesipoday.ru/catalog/gidroizolyatsiya/gidroizolyatsiya-polimernaya/
